c1,c2,c3,c4,c5,c6
Penalty for giving false information.,219,2,c,,"in giving any information lawfully demanded or required under this Act or any regulation, makes any statement which to his knowledge is false or in any material respect misleading, shall be guilty of an offence under this Act, and on conviction after summary trial before a Magistrate shall be liable to a fine not exceeding five hundred rupees, or to imprisonment of cither description for a period not exceeding six months, or to both such fine and imprisonment."
Penalty for fraudulent imitation of revenue licences. &c.,220,1,,,"Any person who-(a) fraudulently uses or allows any other person to use; or(b) fraudulently imitates, alters, mutilates, defaces or destroys, any identification plate, or any certificate of registration, revenue licence for a motor vehicle, driving licence, permit issued under section 135 (4) or under Part IV or Part V, conductor's licence or any other licence, or any duplicate of any such permit or licence, issued or deemed to have been issued under this Act or any regulation, shall be guilty of an offence under this Act and shall on conviction after summary trial before a Magistrate be liable to a fine not exceeding five hundred rupees, or to imprisonment of either description for a term not exceeding six months, or to both such fine and imprisonment."
Penalty for fraudulent imitation of revenue licences. &c.,220,1,a,,fraudulently uses or allows any other person to use; or
Penalty for fraudulent imitation of revenue licences. &c.,220,1,b,,"fraudulently imitates, alters, mutilates, defaces or destroys, any identification plate, or any certificate of registration, revenue licence for a motor vehicle, driving licence, permit issued under section 135 (4) or under Part IV or Part V, conductor's licence or any other licence, or any duplicate of any such permit or licence, issued or deemed to have been issued under this Act or any regulation, shall be guilty of an offence under this Act and shall on conviction after summary trial before a Magistrate be liable to a fine not exceeding five hundred rupees, or to imprisonment of either description for a term not exceeding six months, or to both such fine and imprisonment."
Penalty for fraudulent imitation of revenue licences. &c.,220,2,,,"Any person who-(a) forges or fraudulently imitates or alters any certificate of insurance or certificate of security, or uses or causes or permits any other person to use any such certificate knowing it to be forged or fraudulently imitated or altered ; or(b) fraudulently uses or causes or permits any other person to use fraudulently any certificate of insurance or security ; or(c) knowingly makes any false statement or withholds any material information for the purpose of obtaining a certificate of insurance or a certificate of security,"
Penalty for fraudulent imitation of revenue licences. &c.,220,2,a,,"forges or fraudulently imitates or alters any certificate of insurance or certificate of security, or uses or causes or permits any other person to use any such certificate knowing it to be forged or fraudulently imitated or altered ; or"
Penalty for fraudulent imitation of revenue licences. &c.,220,2,b,,fraudulently uses or causes or permits any other person to use fraudulently any certificate of insurance or security ; or
Penalty for fraudulent imitation of revenue licences. &c.,220,2,c,,"knowingly makes any false statement or withholds any material information for the purpose of obtaining a certificate of insurance or a certificate of security,"
Penalty for fraudulent imitation of revenue licences. &c.,220,2,c,,"shall be guilty of an offence under this Act and shall on conviction after summary trial before a Magistrate, be liable to a fine not exceeding five hundred rupees or to imprisonment of either description for a term not exceeding six months or to both such fine and imprisonment."
Penalty for fraudulent imitation of revenue licences. &c.,220,3,,,"Any person who issues a certificate of insurance or a certificate of security which he knows to be false in any material particular shall be guilty of an offence under this Act, and shall, on conviction after summary trial before a Magistrate, be liable to a fine not exceeding one thousand rupees or to imprisonment of either description for a term not exceeding six months or to both such fine and imprisonment."
Penalty for contravention of part IV and V .,221,3,a,,"who is guilty of the offence of using any hiring car, private coach, omnibus or lorry in contravention of any provision of Part IV or Part V; or"
Penalty for contravention of part IV and V .,221,3,b,,"who is guilty of the offence of failing to comply with any condition attached to a permit granted under any such Part,"
"Powers of court to order recovery of license fee and penalty[$ 4, 12 of 1975]",225,1,,,"Where any court convicts any person of the offence of possessing or using a motor vehicle in contravention of section 25 (1), and a certificate is produced, signed by the licensing authority and stating the amount payable as fee on a revenue licence for that motor vehicle under this Act and the penalty under section 227A of this Act, the court shall, in addition to any other punishment which it may impose for that offence, order a sum equal to that amount to be recovered from that person as though it were a fine imposed by the court ; and any such sum may be so recovered notwithstanding that it may exceed the amount of the fine which the court may in the exercise of its ordinary jurisdiction impose. Every such sum when recovered by the court, shall be disposed of in like manner as the fee and penalty payable on a revenue licence for that motor vehicle."
"Powers of court to order recovery of license fee and penalty[$ 4, 12 of 1975]",225,2,,,"Any person who is dissatisfied with any order made under subsection (1) may, if he appeals against the conviction in consequence of which the order was made, appeal against the order to the Court of Appeal and the provisions of Chapter XXVIII of the Code of Criminal Procedure Act shall, in so far as they apply to appeals in criminal cases, apply to such appeal"
"Powers of court to order recovery of license fee and penalty[$ 4, 12 of 1975]",225,3,,,"Where a sum equal to the fee payable on the revenue licence required for any motor vehicle in respect of any year or part of a year and the penalty is recovered from any person in pursuance of any order made under subsection (1) or by the Court of Appeal under subsection (2), and that motor vehicle is fit to be used on a highway and all other requirements of this Act relating to the licensing of motor vehicles have been complied with in respect of that motor vehicle, the licensing authority shall issue a revenue licence for that motor vehicle in respect of that year or part of a year in like manner as if the application for such licence had been duly made under Part III and accompanied by the amount of the fee and penalty."
Fees.,227,3,a,,"shall be collected by means of revenue stamps to be provided by the person by whom the fee is payable, and to be cancelled by or by order of the Commissioner; and"
Fees.,227,3,b,,shall be credited to the Consolidated Fund:
Fees.,227,3,b,,"Provided, however, that no fee shall be payable in respect of-(i) the registration of any motor vehicle belonging to or exclusively used in the service at the State or belonging to the Government of such foreign stale as the Minister may, from time to time, specify by Notification published in the Gazette or belonging to the representative in Sri Lanka (by whatsoever name, title or designation called) of the Government of any foreign state so specified or the Trade Commissioner or consular officer in Sri Lanka of any such Government or persons on the staff of any such representative or Commissioner or consular officer; or(ii) the issue of a driving licence to, or the extension of the validity of the driving licence of, any member of the Sri Lanka Army for the purpose of authorizing such member to drive within Sri Lanka, on military duty, any type or description of motor vehicles used for military purposes; or(iii) the issue of a driving licence to or the extension of the validity of any such licence of the representative in Sri Lanka (by whatsoever name, title or designation called) of the Government of any foreign state specified by Notification published under paragraph (i) of this proviso or the Trade Commissioner in Sri Lanka of any such Government or the consular officer in Sri Lanka of any such Government or persons on the staff of any such representative or Commissioner or consular officer."
Fees.,227,3,i,i,"the registration of any motor vehicle belonging to or exclusively used in the service at the State or belonging to the Government of such foreign stale as the Minister may, from time to time, specify by Notification published in the Gazette or belonging to the representative in Sri Lanka (by whatsoever name, title or designation called) of the Government of any foreign state so specified or the Trade Commissioner or consular officer in Sri Lanka of any such Government or persons on the staff of any such representative or Commissioner or consular officer; or"
Fees.,227,3,i,ii,"the issue of a driving licence to, or the extension of the validity of the driving licence of, any member of the Sri Lanka Army for the purpose of authorizing such member to drive within Sri Lanka, on military duty, any type or description of motor vehicles used for military purposes; or"
Fees.,227,3,i,iii,"the issue of a driving licence to or the extension of the validity of any such licence of the representative in Sri Lanka (by whatsoever name, title or designation called) of the Government of any foreign state specified by Notification published under paragraph (i) of this proviso or the Trade Commissioner in Sri Lanka of any such Government or the consular officer in Sri Lanka of any such Government or persons on the staff of any such representative or Commissioner or consular officer."
Regulation of petrol pumps.,229,3,a,,permitting and regulating the construction and operation of pumps or other devices for the supply of petrol or other fuel for motor vehicles and imposing fees for the privilege;
Regulation of petrol pumps.,229,3,b,,"for inspecting and testing the accuracy of such pumps or devices or testing the quality and specific gravity of such petrol or other fuel, and imposing fees for such inspection or testing; and"
Regulation of petrol pumps.,229,3,c,,providing for the recovery and disposal of such fees.
Issue of duplicates.,231,1,,,"Any officer or authority by whom any certificate, permit or licence under this Act or any regulation has been granted or issued shall, upon proof to his satisfaction that such certificate, permit or licence has been lost, destroyed, defaced or damaged, issue a duplicate of the certificate, permit or licence to the person, entitled thereto ; and any duplicate so issued shall be deemed for all purposes to be a certificate, permit or licence, as the case may be, granted or issued in accordance with the provisions of this Act or of any regulation."
Issue of duplicates.,231,2,,,"No duplicate shall be issued by any officer or authority under subsection (1) on the ground that a certificate, permit or licence is surrendered to that officer or authority."
Issue of duplicates.,231,3,,,"(a) No duplicate of a driving licence shall be issued under subsection (1) unless the application is accompanied by two copies of a photograph of the applicant, of such size as may be prescribed and taken not earlier than six months before the date of the application.(b) Where any duplicate of a driving licence is issued under subsection (1), the Commissioner shall set out, on that duplicate, copies of all such endorsements or entries made on the licence as may be brought to his notice."
Issue of duplicates.,231,3,a,,"No duplicate of a driving licence shall be issued under subsection (1) unless the application is accompanied by two copies of a photograph of the applicant, of such size as may be prescribed and taken not earlier than six months before the date of the application."
Issue of duplicates.,231,3,b,,"Where any duplicate of a driving licence is issued under subsection (1), the Commissioner shall set out, on that duplicate, copies of all such endorsements or entries made on the licence as may be brought to his notice."
Issue of duplicates.,231,4,,,"(a) No duplicate of any certificate, permit or licence shall be issued by the Commissioner under this section except upon payment of the prescribed fee.(b) No duplicate of a revenue licence for a motor vehicle shall be issued by a licensing authority under this section except upon payment of the prescribed fee."
Issue of duplicates.,231,4,a,,"No duplicate of any certificate, permit or licence shall be issued by the Commissioner under this section except upon payment of the prescribed fee."
Issue of duplicates.,231,4,b,,No duplicate of a revenue licence for a motor vehicle shall be issued by a licensing authority under this section except upon payment of the prescribed fee.
Issue of duplicates.,231,5,,,"Where any duplicate is issued to any person under subsection (1) on the ground that a certificate, permit or licence was lost or destroyed, that person shall, if the certificate, permit or licence or any part thereof is subsequently recovered, forward such certificate, permit or licence or part thereof to the officer or authority by whom the duplicate is issued."
Procedure for making regulations.,237,1,,,"The Minister may make regulations for all matters for which regulations are required or authorized to be made under this Act, all matters stated or required by this Act to be prescribed, and all other matters incidental to or connected with such matters."
Procedure for making regulations.,237,2,,,"No regulation made by the Minister under this Act shall have effect until it has been approved by Parliament and notification of such approval is published in the Gazette. Every regulation shall, upon notification of such approval in the Gazette, be as valid and effectual as if it were herein enacted."
"Application of Act to persons and motor vehicles in the State service,",238,1,,,"Save as otherwise provided in this Act, the provisions of this Act shall apply in the case of persons and motor vehicles in the service of the State :"
"Application of Act to persons and motor vehicles in the State service,",238,1,,,"Provided, however, that the provisions of sections 2, 21 and 25 shall not apply in the case of any motor vehicle ordinarily used by the President; And provided further that regulations may, with the concurrence of the Minister in charge of the subject of Defence, be made exempting-(a) members, or any specified class or description of members, of the armed forces; and(b) motor vehicles, or any specified class or description of motor vehicles, which belong to or are exclusively used for the purpose of any of the armed forces, from all the provisions, or any specified provision, of this Act or of any regulations made thereunder."
"Application of Act to persons and motor vehicles in the State service,",238,1,a,,"members, or any specified class or description of members, of the armed forces; and"
"Application of Act to persons and motor vehicles in the State service,",238,1,b,,"motor vehicles, or any specified class or description of motor vehicles, which belong to or are exclusively used for the purpose of any of the armed forces, from all the provisions, or any specified provision, of this Act or of any regulations made thereunder."
"Application of Act to persons and motor vehicles in the State service,",238,2,,,"For the purposes of facilitating any exercises of the Services, the Minister may, with the concurrence of the Minister in charge of the subject of Defence, by Order-(a) declare that any specified highway or highways or part of any such highway shall be closed to traffic on any specified day or days or during any specified time on any specified day or days; and(b) declare that the provisions of this Act or any specified provisions of this Act shall not apply to the members of the armed forces participating in such exercises or to or in relation to the motor vehicles used for the purposes of such exercises."
"Application of Act to persons and motor vehicles in the State service,",238,2,a,,declare that any specified highway or highways or part of any such highway shall be closed to traffic on any specified day or days or during any specified time on any specified day or days; and
"Application of Act to persons and motor vehicles in the State service,",238,2,b,,declare that the provisions of this Act or any specified provisions of this Act shall not apply to the members of the armed forces participating in such exercises or to or in relation to the motor vehicles used for the purposes of such exercises.
"Application of Act to persons and motor vehicles in the State service,",238,3,,,"For the purposes of the preceding provisions of this section, the expression "" exercises of the Services"" includes any exercises, manoueuvres, training or movement of the armed forces."
Protection of public interests.,239,1,,,"It is hereby declared that nothing in this Act is to be treated as conferring on the holder of a permit or licence granted or issued thereunder any right to the continuance of any benefits arising from the provisions of this Act, or from a permit or licence, as the case may be, or from any conditions attached thereto."
Protection of public interests.,239,2,,,"It is hereby declared that in the event of the compulsory acquisition by the Government or by any local authority or prescribed public authority of any undertaking by which a service is provided under the authority of a stage carriage permit granted under Part IV of this Act, that part of the value of the undertaking attributable directly or indirectly to this Act shall not be taken into account."
Protection of public interests.,239,2,,,"In this section "" compulsory acquisition "" means compulsory acquisition under the authority of any written law which may hereafter be enacted in that behalf."
"Provisions relating to stage carriage permits not to apply to omnibuses or hiring cars used for the purpose of providing regular or occasional omnibus services or hiring car services by the Regional Transport Boards.[ 36, Law 19 of 1978.]",239A,2,a,,any omnibus used for the purposes of providing a regular or an occasional omnibus service; or
"Provisions relating to stage carriage permits not to apply to omnibuses or hiring cars used for the purpose of providing regular or occasional omnibus services or hiring car services by the Regional Transport Boards.[ 36, Law 19 of 1978.]",239A,2,b,,"any hiring car used for the purpose of providing a hiring car service, by any Regional Transport Board established by the Transport Board Law, and accordingly no stage carriage permit shall be required for the registration of any such Regional Transport Board as the owner of such omnibus or for the grant of the revenue licence in respect of such omnibus, or for the use of such omnibus on any highway, or for any other purpose whatsoever connected with such omnibus."
