c1,c2,c3,c4,c5,c6
Special provisions applicable to certain applications.,87,1,,,"This section shall apply to every application-(a) for the grant of a public carrier's permit under this Part, not being a short-term permit; or(b) for the variation of any such permit by a direction that additional lorries shall be specified therein or that the maximum number of lorries so specified shall be increased ; or(c) for the modification or rescission of any condition specified in any such permit or the addition thereto of any new condition:"
Special provisions applicable to certain applications.,87,1,a,,"for the grant of a public carrier's permit under this Part, not being a short-term permit; or"
Special provisions applicable to certain applications.,87,1,b,,for the variation of any such permit by a direction that additional lorries shall be specified therein or that the maximum number of lorries so specified shall be increased ; or
Special provisions applicable to certain applications.,87,1,c,,for the modification or rescission of any condition specified in any such permit or the addition thereto of any new condition:
Special provisions applicable to certain applications.,87,1,c,,"Provided, however, that this section shall not apply-(i) to any application for a permit to expire not later than an existing permit under which lorries to which the application relates are authorized to be used for the purposes of a business which the applicant has acquired or intends to acquire; or(ii) to any application as respects which the Commissioner is of opinion that, having regard to its trivial character, it is not necessary that any opportunity should be given for objections."
Special provisions applicable to certain applications.,87,1,i,i,to any application for a permit to expire not later than an existing permit under which lorries to which the application relates are authorized to be used for the purposes of a business which the applicant has acquired or intends to acquire; or
Special provisions applicable to certain applications.,87,1,i,ii,"to any application as respects which the Commissioner is of opinion that, having regard to its trivial character, it is not necessary that any opportunity should be given for objections."
Special provisions applicable to certain applications.,87,2,,,"The Commissioner shall publish in the prescribed manner notice of every application to which this section applies and shall specify in such notice the time within which, and the manner in which objections may be made against the grant of the application."
Special provisions applicable to certain applications.,87,3,,,"In the case of any application to which this section applies, any person already providing transport facilities, whether by means of road transport or any other means of transport, for the carriage of goods for fee or reward in the area or any part of the area or between any places which the applicant intends to serve under the authority of the permit applied for, may, on payment of the prescribed fee, make objection against the grant of the application on the ground that suitable transport facilities in that area or part or between those places are or, if the application were granted, would be, either generally or in respect of any particular type of lorries, in excess of requirements, or on the ground that any of the conditions of any permit held by the applicant has not been complied with."
Special provisions applicable to certain applications.,87,3,,,An objection may be made under this subsection on behalf of the railway by the General Manager of Railways or any other officer of his department authorized by him for the purpose; no fee shall be payable in respect of any such objection.
Special provisions applicable to certain applications.,87,4,,,It shall be the duty of the Commissioner to hold a public hearing into every application to which this section applies and into all objections duly made by persons entitled under subsection (3) to make objections in respect of the application.
Special provisions applicable to certain applications.,87,5,,,"Where, on an application for the grant of a permit under this Part, the Commissioner proposes to grant the application in respect of lorries, areas or routes other than those of which particulars were contained in the application, the Commissioner shall publish notice of that proposal in like manner as though it were an application to which this section applies; and thereupon the provisions of this section with respect to the making and considering of objections and the holding of a public inquiry shall apply accordingly ;"
Special provisions applicable to certain applications.,87,5,,,"Provided, however, that nothing in the preceding provisions of this subsection shall apply if the Commissioner certifies that he is satisfied that the total pay-load of the lorries proposed by the Commissioner to be authorized will not be materially greater than that of the lorries specified in the application."
Regulation of carriage by road between places connected by railway,88,1,,,"Where any two places are conveniently connected by railway, and the shortest distance by road between those places is not less than sixty miles, then, save as otherwise provided in section 89, no permit shall be granted-(a) authorizing the carriage between those places; or(b) authorizing any carriage involving or necessitating the through carriage between those places, of goods by lorry or by a succession of lorries."
Regulation of carriage by road between places connected by railway,88,1,a,,authorizing the carriage between those places; or
Regulation of carriage by road between places connected by railway,88,1,b,,"authorizing any carriage involving or necessitating the through carriage between those places, of goods by lorry or by a succession of lorries."
Regulation of carriage by road between places connected by railway,88,2,,,"For the purposes of subsection (1), any two places shall be deemed to be conveniently connected by railway if-(a) each of such places is situated either(i) within the limits of a Municipal town within which there is a railway station, or(ii) within a distance by road of not more than three miles from a railway station; and(b) the railway route between the two railway stations does not exceed one and one half times the shortest distance by road between the two places in a case where there is no break of gauge in the railway connexion, or does not exceed the shortest distance by road in a case where there is any such break of gauge."
Regulation of carriage by road between places connected by railway,88,2,a,,"each of such places is situated either(i) within the limits of a Municipal town within which there is a railway station, or(ii) within a distance by road of not more than three miles from a railway station; and"
Regulation of carriage by road between places connected by railway,88,2,i,i,"within the limits of a Municipal town within which there is a railway station, or"
Regulation of carriage by road between places connected by railway,88,2,i,ii,within a distance by road of not more than three miles from a railway station; and
Regulation of carriage by road between places connected by railway,88,2,b,,"the railway route between the two railway stations does not exceed one and one half times the shortest distance by road between the two places in a case where there is no break of gauge in the railway connexion, or does not exceed the shortest distance by road in a case where there is any such break of gauge."
Regulation of carriage by road between places connected by railway,88,3,,,"For the purposes of this section, the expression "" distance by road "" means the distance measured along any highway or highways on which the use of lorries is not prohibited under this Act."
Grant of permits for long-distance carriage.,89,1,,,"Notwithstanding the provisions of section 88, a permit authorizing any carriage of the description mentioned in that section (hereinafter referred to as "" regulated long-distance carriage "") may be granted-(a) in exceptional circumstances, on the ground that the Commissioner considers it expedient to grant a permit for the carriage of fresh fish, fresh fruit, fresh vegetables or other perishable or fragile articles, having regard to the delay and risk involved in, and the other disadvantages of, the carriage of such articles by railway; or(b) on the ground that the applicant for the permit is, or is the successor of, a person who, immediately prior to the 31st day of December, 1949, was the holder of a licence or licences authorizing the use of a lorry or lorries for substantially the same purposes and in substantially the same area of operation as the purposes and the area, respectively, to which his application relates, so, however, that the permit which may be granted in any such case shall only authorize the use of the same lorry or lorries or other lorries of the same total pay-load ; or(c) in exceptional circumstances, on the ground of strong economic justification; or(d) on the ground that the lorries are owned by the Government or any prescribed public authority."
Grant of permits for long-distance carriage.,89,1,a,,"in exceptional circumstances, on the ground that the Commissioner considers it expedient to grant a permit for the carriage of fresh fish, fresh fruit, fresh vegetables or other perishable or fragile articles, having regard to the delay and risk involved in, and the other disadvantages of, the carriage of such articles by railway; or"
Grant of permits for long-distance carriage.,89,1,b,,"on the ground that the applicant for the permit is, or is the successor of, a person who, immediately prior to the 31st day of December, 1949, was the holder of a licence or licences authorizing the use of a lorry or lorries for substantially the same purposes and in substantially the same area of operation as the purposes and the area, respectively, to which his application relates, so, however, that the permit which may be granted in any such case shall only authorize the use of the same lorry or lorries or other lorries of the same total pay-load ; or"
Grant of permits for long-distance carriage.,89,1,c,,"in exceptional circumstances, on the ground of strong economic justification; or"
Grant of permits for long-distance carriage.,89,1,d,,on the ground that the lorries are owned by the Government or any prescribed public authority.
Grant of permits for long-distance carriage.,89,2,,,"For the purposes of subsection (1), the expression "" successor "", in relation to a person who, immediately prior to the 31st day of December, 1949, was the holder of a licence authorizing the use of a lorry or lorries for the purpose of any trade, business or undertaking (including an agricultural undertaking), means-(a) any other person who, consequent on the death of such holder or on a valid transfer (whether voluntary or otherwise), is entitled to carry on such trade, business or undertaking; or(b) if such licence was granted to the holder thereof in his capacity as superintendent or manager of any such trade, business or undertaking, the owner thereof or the person who is the superintendent or manager for the time being of that trade, business or undertaking."
Grant of permits for long-distance carriage.,89,2,a,,"any other person who, consequent on the death of such holder or on a valid transfer (whether voluntary or otherwise), is entitled to carry on such trade, business or undertaking; or"
Grant of permits for long-distance carriage.,89,2,b,,"if such licence was granted to the holder thereof in his capacity as superintendent or manager of any such trade, business or undertaking, the owner thereof or the person who is the superintendent or manager for the time being of that trade, business or undertaking."
Grant of permits for long-distance carriage.,89,3,,,"No permit authorizing regulated long- distance carriage which is granted on the ground specified in paragraph (b) of subsection (1) shall be expressed to be in force after the 31st day of December, 1957 ; and the provisions of this subsection shall have effect notwithstanding anything in section 84."
Grant of permits for long-distance carriage.,89,4,,,"In any case where-(a) any person is, by permits granted on the ground specified in paragraph (b) of subsection (1), authorized to perform regulated long-distance carriage during the whole of the period commencing on the appointed date and ending on the 31st day of December, 1955 ; and(b) an application made by that person for a permit authorizing regulated long-distance carriage by him during the currency period commencing on the 1st day of January, 1956, is refused, that person shall be entitled to compensation for loss of business, in such circumstances and subject to such conditions and restrictions and of such an amount as may be prescribed by regulations made in that behalf; and the payment of all sums due by way of such compensation is hereby charged on the Consolidated Fund."
Grant of permits for long-distance carriage.,89,4,a,,"any person is, by permits granted on the ground specified in paragraph (b) of subsection (1), authorized to perform regulated long-distance carriage during the whole of the period commencing on the appointed date and ending on the 31st day of December, 1955 ; and"
Grant of permits for long-distance carriage.,89,4,b,,"an application made by that person for a permit authorizing regulated long-distance carriage by him during the currency period commencing on the 1st day of January, 1956, is refused, that person shall be entitled to compensation for loss of business, in such circumstances and subject to such conditions and restrictions and of such an amount as may be prescribed by regulations made in that behalf; and the payment of all sums due by way of such compensation is hereby charged on the Consolidated Fund."
Grant of permits for long-distance carriage.,89,5,,,"No permit authorizing regulated long- distance carriage shall be granted on the ground of strong economic justification, unless the Commissioner is satisfied-(a) that the grant of the permit will result in substantial and justifiable economy of time and cost to the prospective consignors or consignees; and(b) that, after carefully weighing the total potential loss to the railway (having regard to the likely number of other cases in which permits will have to be granted on similar grounds), against the advantages of the carriage by road of the goods proposed to be carried by the applicant, it is expedient in the public interest to grant the permit."
Grant of permits for long-distance carriage.,89,5,a,,that the grant of the permit will result in substantial and justifiable economy of time and cost to the prospective consignors or consignees; and
Grant of permits for long-distance carriage.,89,5,b,,"that, after carefully weighing the total potential loss to the railway (having regard to the likely number of other cases in which permits will have to be granted on similar grounds), against the advantages of the carriage by road of the goods proposed to be carried by the applicant, it is expedient in the public interest to grant the permit."
Grant of permits for long-distance carriage.,89,6,,,"Nothing in section 88 shall be deemed or construed in any case to prohibit the grant of a permit authorizing regulated long-distance carriage in any case where the permit is required by any applicant to authorize any carriage of any description set out hereunder:-(a) the carriage of liquids in bulk in a tank permanently fixed to a lorry, or in a tank not so fixed the capacity of which is at least five hundred gallons;(b) the carriage of goods of a special character which, under any written law specifically relating thereto, may only be carried in a vehicle constructed or adapted so as to comply with that law and which are being so carried;(c) the carriage consisting of an ordinary furniture removal;(d) the carriage of meat;(e) the carriage of livestock ;(f) the carriage of felled timber on a lorry specially constructed for the purposes of such carriage ;(g) any carriage only in a lorry specially constructed to carry abnormal indivisible loads, and the carriage, in a lorry in which no other goods are being carried for fee or reward, of apparatus or equipment ancillary to the operation, for the purposes of the carriage of such loads, of such a specially constructed lorry; or(h) the K carriage of goods in a vehicle with a pay-load not exceeding fifteen hundredweight."
Grant of permits for long-distance carriage.,89,6,a,,"the carriage of liquids in bulk in a tank permanently fixed to a lorry, or in a tank not so fixed the capacity of which is at least five hundred gallons;"
Grant of permits for long-distance carriage.,89,6,b,,"the carriage of goods of a special character which, under any written law specifically relating thereto, may only be carried in a vehicle constructed or adapted so as to comply with that law and which are being so carried;"
Grant of permits for long-distance carriage.,89,6,c,,the carriage consisting of an ordinary furniture removal;
Grant of permits for long-distance carriage.,89,6,d,,the carriage of meat;
Grant of permits for long-distance carriage.,89,6,e,,the carriage of livestock ;
Grant of permits for long-distance carriage.,89,6,f,,the carriage of felled timber on a lorry specially constructed for the purposes of such carriage ;
Grant of permits for long-distance carriage.,89,6,g,,"any carriage only in a lorry specially constructed to carry abnormal indivisible loads, and the carriage, in a lorry in which no other goods are being carried for fee or reward, of apparatus or equipment ancillary to the operation, for the purposes of the carriage of such loads, of such a specially constructed lorry; or"
Grant of permits for long-distance carriage.,89,6,h,,the K carriage of goods in a vehicle with a pay-load not exceeding fifteen hundredweight.
Grant of permits for long-distance carriage.,89,7,,,"Nothing in section 88 shall be deemed or construed to prohibit the grant, to the holder of a private carrier's permit, of a short-term permit authorizing regulated long-distance carriage in any case where the Commissioner is satisfied that such short-term permit is required on any particular occasion for any purpose of a prescribed description."
Discretion as to grant or refuse of permits,90,1,,,"Subject to the provisions of sections 88 and 89, the Commissioner shall or have full power and discretion to make a determination either to grant or refuse an application for a permit under this Part or to grant a permit in respect of lorries or areas or routes other than those of which particulars were contained in the application, or in respect of lorries less in number than, or differing in type from, those for the use of which authorization was applied for :"
Discretion as to grant or refuse of permits,90,1,,,"Provided, however, that except in a case to which section 88 or section 89 applies, the Commissioner shall not refuse an application for a private carrier's permit, unless he has reason to believe that the applicant does not bona fide require the use of any lorry, in the area or on the routes specified in his application, for the purposes of any trade or business carried on by him or for any other purpose of a private character."
Discretion as to grant or refuse of permits,90,2,,,"The Commissioner in exercising the discretion in regard to the grant or refusal of permits under this Part shall have regard primarily to the interests of the public generally, including those of persons requiring, as well as those of persons providing, facilities for transport of goods; and shall, as far as may be, be guided by the following considerations of policy, that is to say:-(a) that, while due regard must be had to the advantages afforded by road transport in the case of short-distance carriage, it is in the interests of the public generally that the railway be kept worked at or as near capacity as possible from traffic available for transport;(b) that, wherever any transportation facilities (including facilities provided by the railway) in any area or over any route are, in the opinion of the Commissioner, satisfactory and efficient to meet at reasonable charge the transportation requirements of the public within that area or along that route, it is undesirable to grant permits under this Part authorizing the carriage of goods within substantially the same area, or along substantially the same route in competition with the said transportation facilities."
Discretion as to grant or refuse of permits,90,2,a,,"that, while due regard must be had to the advantages afforded by road transport in the case of short-distance carriage, it is in the interests of the public generally that the railway be kept worked at or as near capacity as possible from traffic available for transport;"
Discretion as to grant or refuse of permits,90,2,b,,"that, wherever any transportation facilities (including facilities provided by the railway) in any area or over any route are, in the opinion of the Commissioner, satisfactory and efficient to meet at reasonable charge the transportation requirements of the public within that area or along that route, it is undesirable to grant permits under this Part authorizing the carriage of goods within substantially the same area, or along substantially the same route in competition with the said transportation facilities."
Discretion as to grant or refuse of permits,90,3,,,"The Commissioner in exercising the discretion in regard to the grant or refusal of permits under this Part shall have regard in the case of an application for a public carrier's permit-(a) where the applicant is the holder of an existing permit of the same class, to the extent to which he is authorized to use lorries thereunder for the carriage of goods for fee or reward;(b) to the previous conduct of the applicant in the capacity of a carrier of goods;(c) to the number and type of lorries proposed to be used under the permit;(d) in determining the number of lorries to be authorized, to the need for providing for occasions when lorries are withdrawn from service for overhaul or repair;(e) to any representations which may be made by any local authority or by any other person interested."
Discretion as to grant or refuse of permits,90,3,a,,"where the applicant is the holder of an existing permit of the same class, to the extent to which he is authorized to use lorries thereunder for the carriage of goods for fee or reward;"
Discretion as to grant or refuse of permits,90,3,b,,to the previous conduct of the applicant in the capacity of a carrier of goods;
Discretion as to grant or refuse of permits,90,3,c,,to the number and type of lorries proposed to be used under the permit;
Discretion as to grant or refuse of permits,90,3,d,,"in determining the number of lorries to be authorized, to the need for providing for occasions when lorries are withdrawn from service for overhaul or repair;"
Discretion as to grant or refuse of permits,90,3,e,,to any representations which may be made by any local authority or by any other person interested.
Conditions attached to permits.,91,1,,,"It shall be a condition of every permit under this Part-(a) that every authorized lorry shall be maintained at all times in a fit and serviceable condition;(b) that the requirements of any written law with respect to the time for which drivers of lorries may remain continuously on duty and to their hours of work or rest and to their wages are complied with in the case of the drivers of the authorized lorries;(c) that the provisions of any written law with respect to speed limits, tare, laden weight and the loading of lorries are complied with in relation to the authorized lorries ; and(d) that the provisions of any regulations made under this Part relating to the keeping of records, the carriage of documents, and the production and inspection of such records and documents, are complied with."
Conditions attached to permits.,91,1,a,,that every authorized lorry shall be maintained at all times in a fit and serviceable condition;
Conditions attached to permits.,91,1,b,,that the requirements of any written law with respect to the time for which drivers of lorries may remain continuously on duty and to their hours of work or rest and to their wages are complied with in the case of the drivers of the authorized lorries;
Conditions attached to permits.,91,1,c,,"that the provisions of any written law with respect to speed limits, tare, laden weight and the loading of lorries are complied with in relation to the authorized lorries ; and"
Conditions attached to permits.,91,1,d,,"that the provisions of any regulations made under this Part relating to the keeping of records, the carriage of documents, and the production and inspection of such records and documents, are complied with."
Conditions attached to permits.,91,2,,,"The Commissioner may attach to any permit under this Part all such conditions he may think fit to impose in the public interest and with a view to preventing uneconomic competition, including conditions requiring-(a) that the authorized lorries shall be used only in such area or between such places as may be specified in the permit;(b) that the authorized lorries shall not be used in such area or between such places as may be specified in the permit;(c) that the goods carried in the authorized lorries shall be restricted to such classes or descriptions of goods as may be specified in the permit;(d) that such classes or descriptions of goods as may be specified in the permit shall not be carried in the authorized lorries;(e) that goods shall be carried in the authorized lorries only for such persons as may be specified in the permit;(f) that the charges to be made for the carriage of goods shall not exceed or be less than such maximum or minimum charges respectively as may be specified in the permit;(g) that the maximum laden weight of any authorized lorry shall not exceed such weight as may be specified in the permit;(h) that a speed-governor shall be fitted to any authorized lorry ; and(i) that the maximum pay-load to be carried in each authorized lorry shall not exceed such amount as may be specified in the permit."
Conditions attached to permits.,91,2,a,,that the authorized lorries shall be used only in such area or between such places as may be specified in the permit;
Conditions attached to permits.,91,2,b,,that the authorized lorries shall not be used in such area or between such places as may be specified in the permit;
Conditions attached to permits.,91,2,c,,that the goods carried in the authorized lorries shall be restricted to such classes or descriptions of goods as may be specified in the permit;
Conditions attached to permits.,91,2,d,,that such classes or descriptions of goods as may be specified in the permit shall not be carried in the authorized lorries;
Conditions attached to permits.,91,2,e,,that goods shall be carried in the authorized lorries only for such persons as may be specified in the permit;
Conditions attached to permits.,91,2,f,,that the charges to be made for the carriage of goods shall not exceed or be less than such maximum or minimum charges respectively as may be specified in the permit;
Conditions attached to permits.,91,2,g,,that the maximum laden weight of any authorized lorry shall not exceed such weight as may be specified in the permit;
Conditions attached to permits.,91,2,h,,that a speed-governor shall be fitted to any authorized lorry ; and
Conditions attached to permits.,91,2,i,i,that the maximum pay-load to be carried in each authorized lorry shall not exceed such amount as may be specified in the permit.
